match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1216532,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,0.5277777777777778,0.4425287356321839,0.6,153,10,147,9,135.53578991952563,7.4442738716610375,130.39210992483362,7.7450006710508665
1216504,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,Unknown,0.5254237288135594,0.5208333333333334,0.5555555555555556,146,9,216,7,135.42412123763418,7.439490445859873,135.5359644063607,8.491714575583362
1216503,Mumbai Indians,Mumbai Indians,Punjab Kings,Punjab Kings,field,Sheikh Zayed Stadium,Abu Dhabi,0.5775401069518716,0.4602272727272727,0.5416666666666666,150,5,206,3,137.18969061297634,8.055458917425561,135.26964183731747,8.492873715611536
1216516,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,0.5321100917431193,0.608433734939759,0.25,142,4,200,6,131.21003134796237,7.510716925351072,130.2691116932603,7.74513463076513
1216514,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5172413793103449,0.4745762711864407,0.5555555555555556,226,6,163,5,135.0158580201093,7.959887250650477,136.95958315730178,8.013253012048192
1216515,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sharjah Cricket Stadium,Unknown,0.44,0.5280898876404494,0.4090909090909091,175,3,145,3,131.07939673438864,7.512564040009758,135.0158580201093,7.959887250650477
1216513,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Dubai International Cricket Stadium,Unknown,0.4576271186440678,0.6047904191616766,0.4,223,2,131,7,137.7050222504768,8.264176266636841,131.9564824846515,7.820111530850872
1216538,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sharjah Cricket Stadium,Unknown,0.5797872340425532,0.5363636363636364,0.46153846153846156,195,5,162,4,137.7050222504768,8.264176266636841,131.9564824846515,7.820111530850872
1216519,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Unknown,0.4431818181818182,0.47752808988764045,0.38095238095238093,147,7,109,10,134.20398009950247,7.51664961032827,135.0722815839095,8.14065934065934
1216511,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,Abu Dhabi,0.582010582010582,0.5136986301369864,0.5,191,4,137,9,135.91494559182766,7.96,134.90683935469212,8.160660008684324
1216501,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5251396648044693,0.6071428571428571,0.35,174,6,157,5,134.348616703468,7.51418079537464,133.90009027986758,8.175191551045765
